#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P17301	uniprotkb:P05556	irefindex:sgFsx72sEcXlYk3ezRbkVCseZiE9606	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:Collagen receptor|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD49 antigen-like family member B|uniprotkb:ita2_human|intact:EBI-702960	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0013"(biophysical)|psi-mi:"MI:0364"(inferred by curator)	Setty S et al. (1995)|Bodary SC et al. (1990)|Pfaff M et al. (1993)|Chung J et al. (1999)|Camper L et al. (1997)|Schneider D et al. (2004)|Rantala et al. (2011)|Schneider et al. (2004)	pubmed:8846021|pubmed:1690718|pubmed:8387021|pubmed:10397731|pubmed:9281592|pubmed:14681217|pubmed:14681455|imex:IM-16896|pubmed:21947080	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0013"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-5529391|intact:EBI-703266|intact:EBI-703334|intact:EBI-2565102	intact-miscore:0.66(free-text)|miscore:0.9101971
uniprotkb:P17301	uniprotkb:P21926	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CD9_HUMAN|uniprotkb:CD9|uniprotkb:MIC3|uniprotkb:TSPAN29|uniprotkb:GIG2	MI:0493|psi-mi:"MI:0018"(two hybrid)	Scherberich A et al. (1998)|Longhurst CM et al. (1999)	pubmed:9812906|pubmed:10429193	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.43911052
uniprotkb:P05556	uniprotkb:P13612	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Yakubenko VP et al. (2000)|Serru V et al. (1999)|Mannion BA et al. (1996)|Li Z et al. (2002)|Chen H et al. (1999)|Pinco KA et al. (2002)|Cunningham SA et al. (2002)|Schneider D et al. (2004)|Brittain JE et al. (2004)|Spessotto P et al. (2003)|Dominguez-Jimenez C et al. (1996)|Redondo-Munoz et al. (2010)|Schneider et al. (2004)	pubmed:11010812|pubmed:10229664|pubmed:8757325|pubmed:11980922|pubmed:9889149|pubmed:12221126|pubmed:12070135|pubmed:14681217|pubmed:15292185|pubmed:12456677|pubmed:9117345|pubmed:14681455|imex:IM-13601|pubmed:20159608	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-703300|intact:EBI-2565117|intact:EBI-703351|intact:EBI-2609328	intact-miscore:0.66(free-text)|author-score:weak interaction(free-text)|miscore:0.93079215
uniprotkb:P08648	uniprotkb:P05556	irefindex:JEdChKATrUtJ/pVcbyYGWHmV5gQ9606	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA|uniprotkb:Fibronectin receptor subunit alpha|uniprotkb:Integrin alpha-F|uniprotkb:VLA-5|uniprotkb:CD49 antigen-like family member E|uniprotkb:ita5_human|intact:EBI-1382311	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|psi-mi:"MI:0006"(anti bait coimmunoprecipitation)|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Wang XQ et al. (2003)|Jones JI et al. (1993)|Schütt BS et al. (2004)|Zhao T et al. (2001)|Akimov SS et al. (2000)|Nath D et al. (1999)|Humtsoe JO et al. (2005)|Trache A et al. (2005)|Wang et al. (2003)|Rantala et al. (2011)	pubmed:12724312|pubmed:7504269|pubmed:15171717|pubmed:11149921|pubmed:10684262|pubmed:9914169|pubmed:16099422|pubmed:16055535|pubmed:14681455|imex:IM-16896|pubmed:21947080	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0006"(association)|psi-mi:"MI:0006"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0469"(IntAct)|psi-mi:"MI:0468"(HPRD)	intact:EBI-5529394|intact:EBI-1382354|intact:EBI-2550721	intact-miscore:0.66(free-text)|miscore:0.91391057
chebi:"CHEBI:463792"	uniprotkb:P17301	-	-	chembl:CHEMBL218226|unknown:"InChI=1S/C20H20N4O6/c25-18(26)4-6-22-19(27)13-7-14(10-17(9-13)24(29)30)20(28)23-16-2-1-12-3-5-21-11-15(12)8-16/h1-2,7-10,21H,3-6,11H2,(H,22,27)(H,23,28)(H,25,26)"|unknown:VGPKJRDGGNBIGH-UHFFFAOYSA-N|unknown:"OC(=O)CCNC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc2ccc3CCNCc3c2"|unknown:chembl218226	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:463793"	uniprotkb:P17301	-	-	chembl:CHEMBL218200|unknown:"InChI=1S/C26H24N4O6/c31-24(32)14-23(17-4-2-1-3-5-17)29-26(34)19-10-18(12-22(13-19)30(35)36)25(33)28-21-7-6-16-8-9-27-15-20(16)11-21/h1-7,10-13,23,27H,8-9,14-15H2,(H,28,33)(H,29,34)(H,31,32)"|unknown:JCOVTLVBRHTAIH-UHFFFAOYSA-N|unknown:"OC(=O)CC(NC(=O)c1cc(cc(c1)[N+](=O)[O-])C(=O)Nc2ccc3CCNCc3c2)c4ccccc4"|unknown:chembl218200	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:463796"	uniprotkb:P17301	-	-	chembl:CHEMBL219051|unknown:"InChI=1S/C27H26N4O7/c1-38-23-6-3-17(4-7-23)24(14-25(32)33)30-27(35)19-10-18(12-22(13-19)31(36)37)26(34)29-21-5-2-16-8-9-28-15-20(16)11-21/h2-7,10-13,24,28H,8-9,14-15H2,1H3,(H,29,34)(H,30,35)(H,32,33)"|unknown:FWTBEVQUAGZEME-UHFFFAOYSA-N|unknown:"COc1ccc(cc1)C(CC(=O)O)NC(=O)c2cc(cc(c2)[N+](=O)[O-])C(=O)Nc3ccc4CCNCc4c3"|unknown:chembl219051	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:463799"	uniprotkb:P17301	-	-	chembl:CHEMBL385939|unknown:"InChI=1S/C28H28N4O8/c1-39-24-6-4-17(13-25(24)40-2)23(14-26(33)34)31-28(36)19-9-18(11-22(12-19)32(37)38)27(35)30-21-5-3-16-7-8-29-15-20(16)10-21/h3-6,9-13,23,29H,7-8,14-15H2,1-2H3,(H,30,35)(H,31,36)(H,33,34)"|unknown:GXEBJYPYNMZCSZ-UHFFFAOYSA-N|unknown:"COc1ccc(cc1OC)C(CC(=O)O)NC(=O)c2cc(cc(c2)[N+](=O)[O-])C(=O)Nc3ccc4CCNCc4c3"|unknown:chembl385939	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572088"	uniprotkb:P26006	-	-	chembl:CHEMBL502184|unknown:OCGQSVFDGSNQSB-RDICNTSZSA-N|unknown:"N[C@H]1CSSC[C@H](NC(=O)[C@H](CCc2ccccc2)NC(=O)[C@@H]3CC(O)CN3C(=O)CNC(=O)[C@H](CC4CCCCC4)NC(=O)CNC(=O)[C@@H](CC(=O)O)NC1=O)C(=O)N"|unknown:chembl502184	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572089"	uniprotkb:P26006	-	-	chembl:CHEMBL510395|unknown:RZVOSDGWIUDIMY-SJUHIFAASA-N|unknown:"C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)CNC(=O)[C@H](CC3CCCCC3)NC(=O)CNC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N"|unknown:chembl510395	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:501601"	uniprotkb:P17301	-	-	chembl:CHEMBL401237|unknown:"InChI=1S/C22H27N5O6S/c23-16-10-8-15(9-11-16)13-24-22(31)25-14-18(21(29)30)26-20(28)19-7-4-12-27(19)34(32,33)17-5-2-1-3-6-17/h1-3,5-6,8-11,18-19H,4,7,12-14,23H2,(H,26,28)(H,29,30)(H2,24,25,31)/t18-,19-/m0/s1"|unknown:QKMRLEQVMNWNFD-OALUTQOASA-N|unknown:"Nc1ccc(CNC(=O)NC[C@H](NC(=O)[C@@H]2CCCN2S(=O)(=O)c3ccccc3)C(=O)O)cc1"|unknown:chembl401237	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Choi et al (2007)	pubmed:17915848	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL900684|chembl:CHEMBL900683	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:501624"	uniprotkb:P17301	-	-	chembl:CHEMBL391118|unknown:"InChI=1S/C24H30N4O6S/c1-16-11-17(2)13-19(12-16)35(33,34)28-10-6-9-21(28)22(29)27-20(23(30)31)15-26-24(32)25-14-18-7-4-3-5-8-18/h3-5,7-8,11-13,20-21H,6,9-10,14-15H2,1-2H3,(H,27,29)(H,30,31)(H2,25,26,32)/t20-,21-/m0/s1"|unknown:ACPGEFYNFSMQSQ-SFTDATJTSA-N|unknown:"Cc1cc(C)cc(c1)S(=O)(=O)N2CCC[C@H]2C(=O)N[C@@H](CNC(=O)NCc3ccccc3)C(=O)O"|unknown:chembl391118	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Choi et al (2007)	pubmed:17915848	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL900684|chembl:CHEMBL900683	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572087"	uniprotkb:P26006	-	-	chembl:CHEMBL510542|unknown:IRMVDKNLFHPSQA-GGNPCZPOSA-N|unknown:"C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CC(O)CN2C(=O)CNC(=O)[C@H](Cc3cccc(Cl)c3)NC(=O)CNC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N"|unknown:chembl510542	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572083"	uniprotkb:P26006	-	-	chembl:CHEMBL503106|unknown:FQVZXBQWOKWVKW-IERHYZPLSA-N|unknown:"CC(C)C[C@@H]1NC(=O)CNC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](N)CSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CC(O)CN2C(=O)CNC1=O)C(=O)N"|unknown:chembl503106	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013696|chembl:CHEMBL1013703	chembl:low(ChEMBL given confidence)|chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572085"	uniprotkb:P26006	-	-	chembl:CHEMBL500841|unknown:OFTQZHUDKPTTHL-PGNXJIQLSA-N|unknown:"N[C@H]1CSSC[C@H](NC(=O)[C@H](CCO)NC(=O)[C@@H]2CC(O)CN2C(=O)CNC(=O)[C@H](Cc3ccc(O)c(c3)[N+](=O)[O-])NC(=O)CNC(=O)[C@@H](CC(=O)O)NC1=O)C(=O)N"|unknown:chembl500841	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572086"	uniprotkb:P26006	-	-	chembl:CHEMBL505383|unknown:XPSJDORWCXYOCD-ZBPOJQCSSA-N|unknown:"C[C@@H](O)[C@@H]1NC(=O)[C@@H]2CC(O)CN2C(=O)CNC(=O)[C@H](Cc3ccc(O)c(c3)[N+](=O)[O-])NC(=O)CNC(=O)[C@@H](CC(=O)O)NC(=O)[C@@H](N)CSSC[C@H](NC1=O)C(=O)N"|unknown:chembl505383	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:675010"	uniprotkb:P26006	-	-	chembl:CHEMBL584142|unknown:KMHKZACQKRSZIS-VJZRQGKXSA-N|unknown:"N[C@@H]1CSSC[C@@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)CNC(=O)[C@@H](NC(=O)CNC(=O)[C@@H](CC(=O)O)NC1=O)c3cc(F)cc(F)c3)C(=O)N"|unknown:chembl584142	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19835381	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1039641	chembl:high(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:572084"	uniprotkb:P26006	-	-	chembl:CHEMBL508586|unknown:VALZMCWLPCJDLL-RGCGUWHESA-N|unknown:"N[C@H]1CSSC[C@H](NC(=O)[C@H](CC(=O)N)NC(=O)[C@@H]2CC(O)CN2C(=O)CNC(=O)[C@H](Cc3ccc(O)c(c3)[N+](=O)[O-])NC(=O)CNC(=O)[C@@H](CC(=O)O)NC1=O)C(=O)N"|unknown:chembl508586	uniprotkb:ITGA3|uniprotkb:Integrin alpha-3|uniprotkb:Integrin alpha-3 heavy chain|uniprotkb:Integrin alpha-3 light chain|uniprotkb:CD49 antigen-like family member C|uniprotkb:FRP-2|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:CD_antigen=CD49c|uniprotkb:GAPB3|uniprotkb:MSK18|chembl:CHEMBL3525|unknown:ita3_human	psi-mi:"MI:0401"(biochemical)	Yao et al (2009)	pubmed:19055415	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL1013703	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:463788"	uniprotkb:P17301	-	-	chembl:CHEMBL218963|unknown:"InChI=1S/C27H27N3O5/c1-35-23-9-6-18(7-10-23)24(15-25(31)32)30-27(34)20-4-2-3-19(13-20)26(33)29-22-8-5-17-11-12-28-16-21(17)14-22/h2-10,13-14,24,28H,11-12,15-16H2,1H3,(H,29,33)(H,30,34)(H,31,32)"|unknown:VHKHAQYPTPVIAP-UHFFFAOYSA-N|unknown:"COc1ccc(cc1)C(CC(=O)O)NC(=O)c2cccc(c2)C(=O)Nc3ccc4CCNCc4c3"|unknown:chembl218963	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
chebi:"CHEBI:463789"	uniprotkb:P17301	-	-	chembl:CHEMBL376893|unknown:"InChI=1S/C28H29N3O6/c1-36-24-9-7-18(14-25(24)37-2)23(15-26(32)33)31-28(35)20-5-3-4-19(12-20)27(34)30-22-8-6-17-10-11-29-16-21(17)13-22/h3-9,12-14,23,29H,10-11,15-16H2,1-2H3,(H,30,34)(H,31,35)(H,32,33)"|unknown:KCPZTHQHJHVUCK-UHFFFAOYSA-N|unknown:"COc1ccc(cc1OC)C(CC(=O)O)NC(=O)c2cccc(c2)C(=O)Nc3ccc4CCNCc4c3"|unknown:chembl376893	uniprotkb:ITGA2|uniprotkb:Integrin alpha-2|uniprotkb:CD49 antigen-like family member B|uniprotkb:Collagen receptor|uniprotkb:Platelet membrane glycoprotein Ia|uniprotkb:VLA-2 subunit alpha|uniprotkb:CD_antigen=CD49b|uniprotkb:GPIa|uniprotkb:CD49B|chembl:CHEMBL4998|unknown:ita2_human	psi-mi:"MI:0401"(biochemical)	Malovichko et al (2006)	pubmed:16919941	-	taxid:9606(human)	psi-mi:"MI:0401"(physical association)	psi-mi:"MI:0967"(ChEMBL)	chembl:CHEMBL856466	chembl:medium(ChEMBL given confidence)|miscore:0.40116468
